"SolicitationID","Solicitation","SoliciationType","Title","CloseDate","Description","Addenda","StaffContact","Status","IsLocalPresenceRequired","IsPreBidConferenceMandatory","PreBidConference","Category","Estimate"
"112661","19PB008","Public Bid","PUBLIC BID<BR>GLYCERIN BASED SUPPLEMENTAL CARBON SOURCE FOR WASTEWATER TREATMENT PLANT","2018-12-28 15:00:00","The City of Scottsdale invites sealed submittals to provide a glycerin-based product in liquid form that can be pumped from a storage tank into a wastewater treatment plant aeration basin to aid in the nitrification/ denitrification process.","1","Cheryl Champine, Bid & Contract Specialist","Awarded","False","False","","9","$300,000"
"112645","19RP011","Request For Proposal","REQUEST FOR PROPOSAL<BR>WATER SYSTEMS MAINTENANCE & REPAIR SERVICES","2018-12-27 15:00:00","The City of Scottsdale invites sealed submittals from qualified contractors to establish up to two (2) contracts to provide various water system maintenance services.  This includes the maintenance and repair of pressure reducing valves (PRV), pump control valves (PCV), air reliefs valves (ARV), and related pumping and piping equipment at all City of Scottsdale Water/Wastewater facilities.  ","1","Cheryl Champine, Bid & Contract Specialist","Awarded","True","False","A Pre-Bid Conference will be held at 9:00 A.M., LOCAL TIME, DECEMBER 6, 2018, in the Water Resources EOC Room, located at 9312 N. 94th Street, Scottsdale, AZ   85258.  All bidders are urged to attend.","9","$250,000"
"112655","19PB007","Public Bid","PUBLIC BID<BR>AIRPORT HERBICIDE APPLICATION","2018-12-19 15:00:00","The City of Scottsdale invites sealed submittals to enter into a term contract to provide for a weed-free environment for all unpaved areas at the City of Scottsdale Municipal Airport.

","1","Karie Ingles, Bid & Contract Specialist","Awarded","True","False","","9","$26,000"
"112649","19RP013","Request For Proposal","REQUEST FOR PROPOSAL<BR>HOUSEHOLD HAZARDOUS WASTE COLLECTION","2018-12-12 14:00:00","The City of Scottsdale invites sealed submittals from qualified firms to provide Household Hazardous Waste Collection, Removal and Disposal services for the Solid Waste Department.  The Contractor will provide labor, materials, equipment, supplies, transportation, technical expertise and record keeping for the collection, removal and disposal of household hazardous waste for the City of Scottsdale.","1","John Snow, Bid & Contract Specialist","Awarded","True","False","","9","$250,000"
"112647","19RP012","Request For Proposal","REQUEST FOR PROPOSAL<BR>FINANCIAL ADVISOR SERVICES","2018-12-05 14:00:00","The City of Scottsdale Finance Department seeks to contract with a qualified firm to provide financial advisor services.  The City of Scottsdale seeks general financial services assistance as well as assistance with financing necessary to the City's operations including but not limited to municipal bonds such as, general obligation, street and highway, water and sewer revenue, Municipal Property Corporation, Scottsdale Preserve Authority, community facilities district, and improvement district.","1","John Snow, Bid & Contract Specialist","Posted","False","False","","9","$40,000"
"112641","19SQ005","Statement of Qualifications","STATEMENT OF QUALIFICATIONS<BR>ON-CALL STRUCTURAL ENGINEERING SERVICES CONTRACT","2018-11-19 15:00:00","The City of Scottsdale is requesting statements of qualifications from qualified engineering firms for professional services to provide structural engineering services  on an “as-needed” basis at various project locations throughout the City of Scottsdale.     ","1","Bill Butler, Capital Project Management","Awarded","False","False","","10","$1,500,000"
"112583","19PB003","Public Bid","PUBLIC BID<BR>ELECTRICAL PARTS AND EQUIPMENT FOR WESTWORLD ","2018-11-07 15:00:00","The City of Scottsdale invites sealed submittals for the purchase and delivery of various electrical parts and equipment, for WestWorld Department, on an as needed basis.  The City intends to use the parts to build portable RV pedestals, and for other electrical needs and projects as needed.","0","Cheryl Champine, Bid & Contract Specialist","Awarded","False","False","","9","$350,000"
"112638","19RP010","Request For Proposal","REQUEST FOR PROPOSAL<BR>ECONOMIC IMPACT ANALYSIS FOR SCOTTSDALE STADIUM IMPROVEMENTS","2018-11-07 14:00:00","The City of Scottsdale invites sealed submittals from a qualified person or firm to conduct an economic and fiscal impact analysis for Scottsdale Stadium and any planned improvements of the stadium.","0","John Snow, Bid & Contract Specialist","Awarded","True","False","","9","$27,500"
"112329","19PB001","Public Bid","PUBLIC BID<BR>WATER & WASTEWATER TREATMENT CHEMICALS","2018-10-31 14:00:00","The City of Scottsdale invites sealed submittals for the purchase and delivery of various water and wastewater chemicals to the City Water Campus and various other locations throughout the City. ","1","Karie Ingles, Bid & Contract Specialist","Awarded","False","False","","9","$3,500,000"
"112593","19PB005","Public Bid","PUBLIC BID<BR>PAIUTE NEIGHBORHOOD CENTER (PNC) BUILDING #2 BATHROOM RENOVATIONS","2018-10-26 14:00:00","The City of Scottsdale invites sealed submittals to provide all labor and materials to remodel the bathrooms and utility closet at building #2 of the Paiute Neighborhood Center (PNC).  This project shall include all plumbing fixture upgrades, new finishes and ADA improvements. This project is federally funded.","1","Karie Ingles, Bid & Contract Specialist","Awarded","True","True","A mandatory pre-bid conference will be held at 9:00 A.M., LOCAL TIME, OCTOBER 16, 2018, at the Paiute Neighborhood Center, Building 9, located at 6535 E. Osborn Road, Scottsdale, AZ   85251.  This mandatory pre-bid conference is open to all the public and all individuals in attendance will be required to sign in on the mandatory pre-bid conference sign-in sheet(s). Companies planning to submit a bid must have a company employee physically present at the pre-bid conference. ONLY bids received from companies that physically attended and signed in at the mandatory pre-bid conference will be considered responsive. This will be the ONLY visit provided.","7","$120,000 - $130,000"
"112474","19RP003","Request For Proposal","REQUEST FOR PROPOSAL<BR>CUSTODIAL SERVICES FOR NORTH CORPORATION YARD AND OTHER LOCATIONS","2018-10-25 14:00:00","The City of Scottsdale invites sealed submittals to provide custodial services for the North Corporation Yard, nine (9) other facilities, and eight (8) park locations in proximity to the North Corporation Yard.","1","John Snow, Bid & Contract Specialist","Posted","True","True","A mandatory Pre-Bid Conference will be held at 10:00 A.M., LOCAL TIME, OCTOBER 4, 2018, in the Wrangler Room (1st floor), located at the North Corp Yard Building,9191 E. San Salvador Dr., Scottsdale, AZ   85268.  This mandatory Pre-Bid Conference is open to all the public and all individuals in attendance will be required to sign in on the mandatory Pre-Bid Conference sign-in sheets.  Companies planning to submit a bid must have a company employee physically present at the Pre-Bid Conference.  ONLY bids received from companies that physically attended and signed in at the mandatory Pre-Bid Conference will be considered responsive.  This will be the ONLY visit provided.","9","$365,000"
"112552","19RP006","Request For Proposal","REQUEST FOR PROPOSAL<BR>ARBITRAGE REBATE SERVICES","2018-10-24 14:00:00","The City of Scottsdale invites sealed submittals from qualified firms to provide arbitrage rebate and bond compliance services.","1","John Snow, Bid & Contract Specialist","Posted","False","False","","9","$26,000"
"112610","19RP008","Request For Proposal","REQUEST FOR PROPOSAL<BR>RENOVATIONS OF FRONT ENTRY AT CITY COURT BUILDING","2018-10-19 14:00:00","The City of Scottsdale invites sealed submittals to provide the purchase and installation of window and door protection at the front entry of the City Court Building.  ","0","Karie Ingles, Bid & Contract Specialist","Awarded","False","False","A Pre-Bid Conference will be held at 3:00 P.M., LOCAL TIME, OCTOBER 10, 2018, in the Scottsdale City Court, located at 3700 N. 75th Street, Scottsdale, AZ   85251.  All bidders are urged to attend.","9","$120,000"
"112612","19IP001","Informal Request For Proposal","INFORMAL REQUEST FOR PROPOSAL<BR>EXECUTIVE RECRUITMENT FIRMS","2018-10-11 15:00:00","The City of Scottsdale invites sealed submittals from qualified firms that have experience with conducting recruitment processes and searches of high-level executives (Directors and above) for municipalities. ","3","Michelle Gerola, Buyer","Awarded","False","False","","9","$20,000"
"112502","19SQ001","Statement of Qualifications","STATEMENT OF QUALIFICATIONS<BR>CONSTRUCTION MANAGER AT RISK RAINTREE DRIVE EXTENSION PROJECT","2018-10-04 11:00:00","Construction Manager at Risk (CMAR) to provide design and complete construction phase services for the City of Scottsdale's Raintree Drive Extension - Scottsdale Road to Hayden Road project.","1","Bill Butler, Capital Project Management","Posted","False","False","","10","$15,000,000"
"112438","18RP040","Request For Proposal","REQUEST FOR PROPOSAL<BR>MAINTENANCE, REPAIR, INSTALLATION & TESTING SERVICES OF THE CITY'S BULK FUEL AND LUBRICATION SYSTEM","2018-10-03 15:00:00","The City of Scottsdale invites sealed submittals for maintenance, repair, upgrading and testing services of the City's bulk fuel and bulk lubrication systems.","0","Cheryl Champine, Bid & Contract Specialist","Awarded","True","False","","9","$26,000"
"112584","19PB004","Public Bid","PUBLIC BID<BR>WESTWORLD GRAIN AND HAY","2018-09-27 14:00:00","The City of Scottsdale invites sealed submittals for the purchase of grain and hay for resale at WestWorld.","0","John Snow, Bid & Contract Specialist","Posted","True","False","","9","$65,000"
"112556","19SQ003","Statement of Qualifications","STATEMENT OF QUALIFICATIONS<BR>ON-CALL ELECTRICAL ENGINEERING SERVICES CONTRACT","2018-09-19 10:00:00","The City of Scottsdale is requesting statements of qualifications from qualified engineering firms for professional services to provide electrical engineering and related services  on an “as-needed” basis at various project locations throughout the City of Scottsdale.     ","0","Bill Butler, Capital Project Management","Awarded","False","False","","10","$750,000"
"112562","19SQ004","Statement of Qualifications","STATEMENT OF QUALIFICATIONS<BR>ENGINEERING SERVICES FOR OSBORN ROAD COMPLETE STREET - HAYDEN TO SCOTTSDALE","2018-09-18 15:00:00","The City of Scottsdale is accepting Statements of Qualifications from qualified professional firms to provide design services for the Osborn Road Complete Street-Hayden Road to Scottsdale Road Project.","1","Bill Butler, Capital Project Management","Awarded","False","True","A mandatory pre-submittal meeting for this RFQ will be held on Wednesday, September 5, 2018, at 10:00 A.M., Local Time, at the Civic Center Library Auditorium, 3839 Drinkwater Blvd., Scottsdale, AZ  85251.","10","$500,000"
"112422","18RP039","Request For Proposal","REQUEST FOR PROPOSAL<BR>CUSTODIAL SERVICES FOR CENTRAL & NORTH SCOTTSDALE","2018-09-14 14:00:00","The City of Scottsdale invites sealed submittals from qualified firms to provide custodial cleaning services at seven (7) facilities and six (6) park locations in the central and north area of Scottsdale.","3","John Snow, Bid & Contract Specialist","Awarded","True","False","A Pre-Bid Conference will be held at 10:00 A.M., LOCAL TIME, AUGUST 29, 2018, at the Mustang Library, located at 10101 N. 90th Street, Scottsdale, AZ   85258.  All bidders are urged to attend.
","9","$150,000"
"112566","19OP001","Offer to Purchase","OFFER TO PURCHASE<BR>AMMUNITION","2018-09-13 15:00:00","The City of Scottsdale invites sealed Offers to Purchase from qualified offerors to purchase surplus ammunition from the City.","0","Cheryl Champine, Bid & Contract Specialist","Awarded","False","False","","9","$0"
"112551","19SQ002","Statement of Qualifications","STATEMENT OF QUALIFICATIONS<BR>ON-CALL ARCHITECTURAL SERVICES CONTRACT","2018-09-11 15:00:00","The City of Scottsdale is requesting statements of qualifications from qualified architectural firms for professional services to provide on-call architecture and related services on an ^as-needed^ basis at various project locations throughout the City of Scottsdale.","1","Bill Butler, Capital Project Management","Awarded","False","False","","10","$4,500,000"
"112520","19PB002","Public Bid","PUBLIC BID<BR>AIRPORT LANDSCAPING SERVICES","2018-09-06 15:00:00","The City of Scottsdale invited sealed submittals from qualified companies to provide various landscape services at various areas around the City's airport.","2","Karie Ingles, Bid & Contract Specialist","Awarded","True","False","A Pre-Bid Conference will be held at 9:00 A.M., LOCAL TIME, AUGUST 17, 2018, at the Pima Conference Room, located at the North Corporation Yard, 9191 E San Salvador Drive Scottsdale, AZ   85258.  All bidders are urged to attend.","9","$26,000"
"112523","19RP004","Request For Proposal","REQUEST FOR PROPOSAL<BR>MAINTENANCE & REPAIR OF LIGHT DUTY VEHICLES","2018-09-05 15:00:00","The City of Scottsdale (COS) invites sealed submittals for the maintenance and repair of light duty fleet vehicles on an as needed basis.","1","Cheryl Champine, Bid & Contract Specialist","Awarded","True","False","","9","$200,000"
"112393","19RP002","Request For Proposal","REQUEST FOR PROPOSAL<BR>WESTWORLD FABRIC STRUCTURE MAINTENANCE & REPAIR SERVICES","2018-09-05 14:00:00","The City of Scottsdale invites sealed submittals from qualified firms for annual tent inspection and routine maintenance for fabric structures located at WestWorld.  Current facilities consist of one multi-use tent and two covered arenas.","0","John Snow, Bid & Contract Specialist","Awarded","True","False","A Pre-Bid Conference will be held at 10:00 A.M., LOCAL TIME, AUGUST 22,2018, at the WestWorld Administration Office, located at 16601 N. Pima Rd., Scottsdale, AZ   85260.  All bidders are urged to attend.","9","$45,000"
"112404","18PB028","Public Bid","PUBLIC BID<BR>CONTROLLER CABINETS - PHASE 2","2018-08-24 10:00:00","The City of Scottsdale invites sealed submittals for the purchase of Safetran Hybrid 332 RM Controller Cabinets and associated hardware.","0","Karie Ingles, Bid & Contract Specialist","Awarded","False","False","","9","$678,960"
"112380","19RQ001","Request For Qualifications","REQUEST FOR QUALIFICATIONS<BR>WATER DEPARTMENT ENGINEERING SUPPORT SERVICES","2018-08-01 10:00:00","The City of Scottsdale invites sealed submittals for Engineering Support Services at City Water and Water Reclamation Treatment Facilities.","1","Karie Ingles, Bid & Contract Specialist","Posted","True","False","","10","$150,000"
"112445","18SQ015","Statement of Qualifications","STATEMENT OF QUALIFICATIONS<BR>ON-CALL ENGINEERING SERVICES FOR ELECTRICAL INSTRUMENT & CONTROL PROJECTS","2018-07-20 14:00:00","The City of Scottsdale is seeking to award contracts for two (2) or more professionally qualified On-Call Engineering Services for Electrical Instrument and Control Projects for the water department.","0","Bill Butler, Capital Project Management","Awarded","False","False","","10","$2,000,000"
"112355","18SQ013","Statement of Qualifications","STATEMENT OF QUALIFICATIONS<BR>JOB ORDER CONTRACT FOR CITYWIDE POOL CONSTRUCTION","2018-07-09 11:00:00","The City of Scottsdale is seeking to contract with one (1) or more professionally qualified Job Order Contract (JOC) contractors to provide pool construction, on an as needed basis at various public pool locations throughout the City of Scottsdale.","1","Bill Butler, Capital Project Management","Awarded","False","False","","10","$3,000,000"
"112310","18RP033","Request For Proposal","REQUEST FOR PROPOSAL<BR>WATER FACILITY VALVE AND ACTUATOR REPAIR AND REPLACEMENT","2018-07-05 15:00:00","The City of Scottsdale invited sealed submittals for Valve and Actuator Repair and Replacement at several Water Resources facilities.","1","Cheryl Champine, Bid & Contract Specialist","Awarded","True","True","A mandatory Pre-Bid Conference will be held at 9:00 A.M. LOCAL TIME, JUNE 11, 2018, at the North Corporation Yard Building, in the Pima Conference Room (2nd floor in Purchasing), located at 9191 E San Salvador Drive, Scottsdale, AZ   85258.  This mandatory Pre-Bid Conference is open to all the public and all individuals in attendance will be required to sign in on the mandatory Pre-Bid Conference sign-in sheets.  Companies planning to submit a bid must have a company employee physically present at the Pre-Bid Conference.  ONLY bids received from companies that physically attended and signed in at the mandatory Pre-Bid Conference will be considered responsive.  This will be the ONLY visit provided.","9","$300,000"
"112335","18PB024","Public Bid","PUBLIC BID<BR>SODIUM CHLORIDE (SALT)","2018-06-20 14:00:00","The City of Scottsdale invited sealed submittals for the purchase of Sodium Chloride (Salt) delivered in bulk, mini-bulk, bags or pails to various locations within the City.","1","Cheryl Champine, Bid & Contract Specialist","Awarded","True","False","","9","$700,000"
"112308","18RP032","Request For Proposal","REQUEST FOR PROPOSAL<BR>THIRD PARTY CREDIT CARD PROCESSING SERVICES","2018-06-19 15:00:00","The City of Scottsdale invites sealed submittals from qualified firms to provide convenience fee based credit card payment services for customers of the City's utility billing.","2","Cheryl Champine, Bid & Contract Specialist","Awarded","False","False","","9","$0"
"112312","18RP034","Request For Proposal","REQUEST FOR PROPOSAL<BR>MODULAR FURNITURE","2018-06-12 14:00:00","The City of Scottsdale invited sealed submittals to establish a contract or contracts to supply, install, reconfigure, design and service Modular Furniture.  The City is requesting proposals for both new and refurbished Modular Furniture.","0","John Snow, Bid & Contract Specialist","Awarded","True","False","","9","$100,000"
"112369","18RP038","Request For Proposal","REQUEST FOR PROPOSAL<BR>AUTOMATED TELLER MACHINE (ATM) SERVICES","2018-06-07 15:00:00","The City of Scottsdale invited sealed submittals from qualified vendors to provide an Automated Teller Machine (ATM) during events at the WestWorld Equestrian and Special Event Facility.","0","John Snow, Bid & Contract Specialist","Awarded","True","False","","9","$0"
"112341","18RP035","Request For Proposal","REQUEST FOR PROPOSAL<BR>EVENT INTERCEPT SURVEY SERVICES","2018-06-06 15:00:00","The City of Scottsdale invited sealed submittals from qualified firms to provide random Event Intercept Survey services.  These services provide research methods which gather on-site feedback from targeted audiences at various City sponsored events.    ","1","Karie Ingles, Bid & Contract Specialist","Awarded","True","False","","9","$30,000"
"112311","18PB023","Public Bid","PUBLIC BID<BR>SITE 42 RESERVOIR REPLACEMENT","2018-06-05 14:00:00","The City of Scottsdale invites sealed submittals to fully replace the existing one million gallon steel reservoir at Site 42, located at the northeast corner of Pima Road and Jomax Road, 26906 N. Pima Road, Scottsdale, AZ 85266.","3","Karie Ingles, Bid & Contract Specialist","Awarded","False","False","A Pre-Bid Conference will be held at 9:00 A.M., LOCAL TIME, MAY 22, 2018, at Site 42, located at 26906 N. Pima Road, Scottsdale, AZ   85266.  All Bidders are urged to attend.  Site 42 is considered vital infrastructure by the City of Scottsdale and as such access is restricted.  For the Pre-Bid Conference we ask that you queue outside the east entrance and City staff will escort everyone onto the site.","7","$1,100,000 - $1,500,000"
"112378","18SQ014","Statement of Qualifications","STATEMENT OF QUALIFICATIONS<BR>CONSTRUCTION MANAGER AT RISK FOR 68TH STREET BRIDGE RECONSTRUCTION AT ARIZONA CANAL","2018-06-01 15:00:00","Construction Manager at Risk (CMAR) to provide design and complete construction phase services for the City of Scottsdale's 68th Street Bridge Reconstruction project at the Arizona Canal.","2","Bill Butler, Capital Project Management","Awarded","False","True","A mandatory pre-submittal meeting will be held on Thursday, May 17, 2018, at 9:30 AM, local time at the site: North east corner of 68th Street and the Arizona Canal.  ","10","$3,000,000"
"112338","18PB025","Public Bid","PUBLIC BID<BR>TURF MOWING SERVICES","2018-05-31 14:00:00","The City of Scottsdale invited sealed submittals from qualified firms to provide turf mowing services.","1","Karie Ingles, Bid & Contract Specialist","Awarded","True","True","A Mandatory Pre-Bid Conference will be held at 10:00 A.M., LOCAL TIME, MAY 8, 2018, at the Scottsdale Stadium, located at 7408 E. Osborn Road, Scottsdale, AZ 85251.  Please meet at the Team Store, located on the main concourse level (east of the main entrance gates).  This mandatory Pre-Bid Conference is open to all the public and all individuals in attendance will be required to sign in on the mandatory Pre-Bid Conference sign-in sheets.  Companies planning to submit a bid must have a company employee physically present at the Pre-Bid Conference.  ONLY bids received from companies that physically attended and signed in at the mandatory Pre-Bid Conference will be considered responsive.  This will be the ONLY visit provided.","9","$100,000"
"112276","18PB020","Public Bid","PUBLIC BID<BR>TEMPORARY CONTRACT LABOR","2018-05-15 14:00:00","The City of Scottsdale invites sealed submittals from qualified firms to provide temporary laborers to clean horse stalls and other related tasks at WestWorld.","1","John Snow, Bid & Contract Specialist","Awarded","True","True","A mandatory Pre-Bid Conference will be held at 10:00 A.M., LOCAL TIME, MAY 2, 2018, at the WestWorld Administration Office, located at 16601 N. Pima Rd., Scottsdale, AZ   85260.  This mandatory Pre-Bid Conference is open to all the public and all individuals in attendance will be required to sign in on the mandatory Pre-Bid Conference sign-in sheets.  Companies planning to submit a bid must have a company employee physically present at the Pre-Bid Conference.  ONLY bids received from companies that physically attended and signed in at the mandatory Pre-Bid Conference will be considered responsive.  This will be the ONLY visit provided.","9","$120,000"
"112297","18PB022","Public Bid","PUBLIC BID<BR>SWEEPER BROOMS","2018-05-03 14:00:00","The City of Scottsdale invites sealed submittals for a term contract to purchase sweeper brooms for the City's Fleet Management Department.","0","Cheryl Champine, Bid & Contract Specialist","Awarded","True","False","","9","$35,000"
"112274","18PB019","Public Bid","PUBLIC BID<BR>CARBON REPLACEMENT AT CENTRAL GROUNDWATER TREATMENT FACILITY","2018-05-02 14:00:00","The City of Scottsdale invited sealed submittals for the as needed removal of spent activated carbon and replacement with regenerated carbon for the City's Central Groundwater Treatment Facility.","0","Cheryl Champine, Bid & Contract Specialist","Awarded","False","False","","9","$130,000"
"112282","18PB021","Public Bid","PUBLIC BID<BR>SCOTTSDALE AIRPORT DELTA APRON RECONSTRUCTION PROJECT","2018-05-01 15:00:00","The City of Scottsdale Airport invites sealed submittals for reconstruction of approximately 36,000 sq. yards of existing aircraft parking area known as the Delta Apron.  The pavement was originally constructed in 1980 and has exceeded its life expectancy by 18 years.  This project is federally funded and has a federal DBE Goal of 7.05%.","1","Karie Ingles, Bid & Contract Specialist","Awarded","False","True","A Mandatory Pre-Bid Conference will be held at 10:00 A.M., LOCAL TIME, APRIL 17, 2018, at the North Corp Yard, Procurement Conference Room (2nd Floor), located 9191 E. San Salvador Dr., Scottsdale, AZ 85258.  This mandatory Pre-Bid Conference is open to all the public and all individuals in attendance will be required to sign in on the mandatory Pre-Bid Conference sign-in sheets.  Companies planning to submit a bid must have a company employee physically present at the Pre-Bid Conference.  ONLY bids received from companies that physically attended and signed in at the mandatory Pre-Bid Conference will be considered responsive.  This will be the ONLY visit provided.","7","$2,600,000 - $2,800,000"
"112318","18SQ012","Statement of Qualifications","STATEMENT OF QUALIFICATIONS<BR>OWNERS REPRESENTATIVE SERVICES - SCOTTSDALE STADIUM MULTI-USE EVENT CENTER IMPROVEMENTS","2018-04-30 10:00:00","The City of Scottsdale is accepting Statements of Qualifications from qualified Owners Representative Services to provide Preconstruction, Design, Construction and Closeout phase services for the Scottsdale Stadium Multi-Use Event Center Improvements project.","1","Bill Butler, Capital Project Management","Awarded","False","False","","10","$60,000,003"
"112294","18RP031","Request For Proposal","REQUEST FOR PROPOSAL<BR>ON-CALL TRAINING FOR SCOTTSDALE WATER ","2018-04-26 15:00:00","The City of Scottsdale invites sealed submittals for On-Call Training Services for various categories, to include general subject matter and specific subject training that involves practices, equipment and work, common to operating a water and wastewater facility.","0","Cheryl Champine, Bid & Contract Specialist","Awarded","True","False","","9","$140,000"
"112277","18PA003","Pricing Agreement","PRICING AGREEMENT<BR>WELDING INVENTORY","2018-04-26 11:00:00","The City of Scottsdale invites sealed quotations to supply Miscellaneous Welding Gases, related Welding Supplies, and Welding Gas Cylinder Rental. ","1","Lynn Gustafson, Buyer","Awarded","True","False","","9","$17,500"
"112295","18SQ011","Statement of Qualifications","STATEMENT OF QUALIFICATIONS<BR>DESIGN BUILD MANAGERS - SCOTTSDALE STADIUM MULTI-USE EVENT CENTER IMPROVEMENTS","2018-04-24 10:00:00","The City of Scottsdale and the San Francisco Giants are accepting Statements of Qualifications from qualified Design-Build Managers to provide design phase and complete construction services for the Scottsdale Stadium Multi-Use Event Center Improvements.","2","Bill Butler, Capital Project Management","Awarded","False","False","The pre-submittal meeting for this RFQ will be held on April 10, 2018, at 10:00 a.m., local time, at 7408 E. Osborn Rd., Scottsdale, AZ   85251.  Interested parties shall wait outside Gate B, the entrance along Osborn Road, until they are escorted into the facility.  It is NOT mandatory that your firm attend the pre-submittal meeting.","10","$60,000,000"
